00001740-n	lemma	ישות
00002137-n	lemma	הפשטה
00002684-n	lemma	אוביקט
00002684-n	lemma	חפץ
00003431-v	lemma	גהק
00003553-n	lemma	מכלול
00003826-v	lemma	שהק
00004227-v	lemma	נפח
00004227-v	lemma	נשף
00004475-n	lemma	חי
00004819-v	lemma	התעטש
00005041-v	lemma	שאף
00005815-v	lemma	השתעל
00006032-a	lemma	יחסי
00006269-n	lemma	חיים
00006484-n	lemma	תא
00007015-r	lemma	כ
00007015-r	lemma	לערך
00007015-r	lemma	בערך
00007015-r	lemma	פחות-או-יותר
00007347-n	lemma	ישות-גורמת
00007846-n	lemma	מישהו
00007846-n	lemma	אדם
00007846-n	lemma	איש
00008007-r	lemma	לגמרי
00008007-r	lemma	לחלוטין
00008600-r	lemma	רק
00008600-r	lemma	בלבד
00011093-r	lemma	היטב
00011093-r	lemma	טוב
00012362-a	lemma	מושגי
00012362-a	lemma	קונספטואלי
00012932-a	lemma	רעיוני
00013160-a	lemma	מוחש
00013160-a	lemma	מוחשי
00013160-a	lemma	קונקרטי
00013887-a	lemma	שופע
00014034-v	lemma	רעד
00015303-v	lemma	התנמנם
00015303-v	lemma	נמנם
00015388-n	lemma	בעל-חיים
00015388-n	lemma	חיה
00015471-r	lemma	מאה-אחוז
00017031-v	lemma	נחר
00017222-n	lemma	צמח
00017639-r	lemma	אפילו
00017639-r	lemma	אף
00018781-r	lemma	למדי
00018781-r	lemma	די
00019128-n	lemma	עצם-טבעי
00020827-n	lemma	עצם
00021065-v	lemma	אלחש
00021065-v	lemma	הרדים
00021265-n	lemma	אוכל
00021878-r	lemma	מדי-פעם
00021878-r	lemma	לפעמים
00021878-r	lemma	לפרקים
00021939-n	lemma	חפץ מלאכותי
00021939-n	lemma	ארטיפקט
00022099-v	lemma	הוביל
00022099-v	lemma	הביא
00023100-n	lemma	מהות-פסיכולוגית
00023271-n	lemma	קוגניציה
00023646-v	lemma	התעלף
00023773-n	lemma	מניע
00024073-r	lemma	לא
00024073-r	lemma	לא
00024356-r	lemma	לא
00024587-r	lemma	לא
00024587-r	lemma	לא
00024587-r	lemma	לא
00024619-a	lemma	רגיל
00024682-r	lemma	אין
00024720-n	lemma	מצב
00025034-v	lemma	
00025728-a	lemma	בסיסי
00026192-n	lemma	הרגשה
00026571-r	lemma	בלאו הכי
00026571-r	lemma	בין כה וכה
00027167-n	lemma	מיקום
00027258-r	lemma	בלאו הכי
00027384-r	lemma	למרות-זאת
00027384-r	lemma	בכל-זאת
00027384-r	lemma	אף-על-פי-כן
00029367-r	lemma	יתרה-מזו
00029367-r	lemma	יתר-על-כן
00029378-n	lemma	ארוע
00030142-v	lemma	צחקק
00030358-n	lemma	פעולה
00030358-n	lemma	מעשה
00030358-n	lemma	אקט
00031264-n	lemma	קבוצה
00031798-r	lemma	כבר
00031899-r	lemma	מאוד
00031899-r	lemma	מה-זה
00031899-r	lemma	נורא
00031921-n	lemma	קשר
00032733-a	lemma	זריז
00032733-a	lemma	מהיר
00032733-a	lemma	קל-תנועה
00032823-n	lemma	קשר-חברתי
00033020-n	lemma	תקשורת
00033615-n	lemma	כמות
00033615-n	lemma	מידה
00033663-r	lemma	מעט
00033663-r	lemma	קצת
00033922-r	lemma	כבר
00033922-r	lemma	במהרה
00033922-r	lemma	בקרוב
00033922-r	lemma	עוד-מעט
00035058-r	lemma	לעתים-קרובות
00035189-n	lemma	השג
00035385-r	lemma	לעתים-רחוקות
00035718-r	lemma	למדי
00035718-r	lemma	די
00035868-a	lemma	הומה
00035868-a	lemma	סואן
00037138-v	lemma	גרגר
00037226-r	lemma	באמת
00037470-r	lemma	אכן
00037641-r	lemma	אכן
00038013-r	lemma	באמת
00038013-r	lemma	אשכרה
00038013-r	lemma	ממש
00038625-r	lemma	כמובן
00040365-r	lemma	שוב
00040365-r	lemma	עוד-פעם
00040766-v	lemma	הסתדר
00040804-n	lemma	תנועה
00041758-r	lemma	ספציפית
00041899-n	lemma	השגה
00041899-n	lemma	רכישה
00041954-r	lemma	בכלל
00041954-r	lemma	באפן-כללי
00042017-v	lemma	חפף
00042228-a	lemma	פסיבי
00042228-a	lemma	סביל
00042311-n	lemma	גרימה
00042757-n	lemma	עזיבה
00042757-n	lemma	הסתלקות
00044150-n	lemma	מימוש
00044673-n	lemma	השואה
00045817-v	lemma	אבד-משקל
